Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.48729456493266693
75% Corpus,2,0.01,0.31,0.47590950334305415
75% Corpus,2,0.01,0.61,0.4711434840154099
75% Corpus,2,0.01,0.9099999999999999,0.4519542959249943
75% Corpus,2,0.01,symmetric,0.4907345757279796
75% Corpus,2,0.31,0.01,0.4845655595253522
75% Corpus,2,0.31,0.31,0.47689491705547055
75% Corpus,2,0.31,0.61,0.45468600829013067
75% Corpus,2,0.31,0.9099999999999999,0.46596865096195117
75% Corpus,2,0.31,symmetric,0.48450923946814967
75% Corpus,2,0.61,0.01,0.5019075526733444
75% Corpus,2,0.61,0.31,0.5063722188793852
75% Corpus,2,0.61,0.61,0.47182184742569006
75% Corpus,2,0.61,0.9099999999999999,0.4608584902531166
75% Corpus,2,0.61,symmetric,0.49827448475743286
75% Corpus,2,0.9099999999999999,0.01,0.49979239779502993
75% Corpus,2,0.9099999999999999,0.31,0.5273354734864176
75% Corpus,2,0.9099999999999999,0.61,0.5154533168344464
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5546562435305618
75% Corpus,2,0.9099999999999999,symmetric,0.5147564151885217
75% Corpus,2,symmetric,0.01,0.4909448585109672
75% Corpus,2,symmetric,0.31,0.47228681700895586
75% Corpus,2,symmetric,0.61,0.4562360298711464
75% Corpus,2,symmetric,0.9099999999999999,0.46170555704776756
75% Corpus,2,symmetric,symmetric,0.48502523760271055
75% Corpus,2,asymmetric,0.01,0.5108702334712816
75% Corpus,2,asymmetric,0.31,0.49375137873099967
75% Corpus,2,asymmetric,0.61,0.46727491969244517
75% Corpus,2,asymmetric,0.9099999999999999,0.4413800115459856
75% Corpus,2,asymmetric,symmetric,0.49821766593300404
75% Corpus,3,0.01,0.01,0.48729456493266693
75% Corpus,3,0.01,0.31,0.47590950334305415
75% Corpus,3,0.01,0.61,0.4711434840154099
75% Corpus,3,0.01,0.9099999999999999,0.4519542959249943
75% Corpus,3,0.01,symmetric,0.4907345757279796
75% Corpus,3,0.31,0.01,0.4845655595253522
75% Corpus,3,0.31,0.31,0.47689491705547055
75% Corpus,3,0.31,0.61,0.45468600829013067
75% Corpus,3,0.31,0.9099999999999999,0.46596865096195117
75% Corpus,3,0.31,symmetric,0.48450923946814967
75% Corpus,3,0.61,0.01,0.5019075526733444
75% Corpus,3,0.61,0.31,0.5063722188793852
75% Corpus,3,0.61,0.61,0.47182184742569006
75% Corpus,3,0.61,0.9099999999999999,0.4608584902531166
75% Corpus,3,0.61,symmetric,0.49827448475743286
75% Corpus,3,0.9099999999999999,0.01,0.49979239779502993
75% Corpus,3,0.9099999999999999,0.31,0.5273354734864176
75% Corpus,3,0.9099999999999999,0.61,0.5154533168344464
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5546562435305618
75% Corpus,3,0.9099999999999999,symmetric,0.5147564151885217
75% Corpus,3,symmetric,0.01,0.4909448585109672
75% Corpus,3,symmetric,0.31,0.47228681700895586
75% Corpus,3,symmetric,0.61,0.4562360298711464
